1 2
2 3
3 4
4 5
5 1
1 6
2 7
3 8
4 9
5 10
6 11
6 12
7 13
7 14
8 15
8 16
9 17
9 18
10 19
10 20
11 22
12 23
13 26
12 13
14 27
15 30
14 15
16 31
17 34
16 17
18 35
19 38
18 19
20 39
20 11
21 22
22 23
23 24
24 25
25 26
26 27
27 28
28 29
29 30
30 31
31 32
32 33
33 34
34 35
35 36
36 37
37 38
38 39
39 40
40 21
21 41
24 42
25 44
28 45
29 47
32 48
33 50
36 51
37 53
40 54
41 42
42 43
43 44
44 45
45 46
46 47
47 48
48 49
49 50
50 51
51 52
52 53
53 54
54 55
55 41
43 57
46 58
49 59
52 60
55 56
56 57
57 58
58 59
59 60
60 56
